Treatment,Market_Value_Estimation,Willingness_to_Pay
Niedriger Ankerpreis,680000,650000
Niedriger Ankerpreis,650000,600000
Niedriger Ankerpreis,680000,650000
Niedriger Ankerpreis,690000,650000
Niedriger Ankerpreis,700000,650000
Niedriger Ankerpreis,660000,650000
Niedriger Ankerpreis,680000,650000
Niedriger Ankerpreis,680000,650000
Niedriger Ankerpreis,680000,650000
Niedriger Ankerpreis,650000,620000
Niedriger Ankerpreis,690000,690000
Niedriger Ankerpreis,650000,620000
Niedriger Ankerpreis,680000,650000
Niedriger Ankerpreis,680000,650000
Niedriger Ankerpreis,650000,600000
Niedriger Ankerpreis,680000,650000
Niedriger Ankerpreis,650000,600000
Niedriger Ankerpreis,690000,650000
Niedriger Ankerpreis,670000,650000
Niedriger Ankerpreis,685000,650000
Niedriger Ankerpreis,680000,650000
Niedriger Ankerpreis,680000,650000
Niedriger Ankerpreis,650000,600000
Niedriger Ankerpreis,670000,650000
Niedriger Ankerpreis,650000,600000
Niedriger Ankerpreis,690000,670000
Niedriger Ankerpreis,700000,650000
Niedriger Ankerpreis,650000,600000
Niedriger Ankerpreis,690000,680000
Niedriger Ankerpreis,680000,650000
Marktpreis,720000,700000
Marktpreis,720000,700000
Marktpreis,720000,700000
Marktpreis,700000,650000
Marktpreis,720000,700000
Marktpreis,720000,700000
Marktpreis,700000,650000
Marktpreis,710000,680000
Marktpreis,700000,650000
Marktpreis,700000,650000
Marktpreis,700000,650000
Marktpreis,720000,700000
Marktpreis,700000,650000
Marktpreis,700000,650000
Marktpreis,720000,700000
Marktpreis,700000,680000
Marktpreis,700000,650000
Marktpreis,710000,700000
Marktpreis,700000,650000
Marktpreis,700000,650000
Marktpreis,700000,650000
Marktpreis,700000,650000
Marktpreis,700000,650000
Marktpreis,690000,650000
Marktpreis,700000,650000
Marktpreis,720000,700000
Marktpreis,700000,650000
Marktpreis,710000,700000
Marktpreis,700000,650000
Marktpreis,700000,650000
Hoher Ankerpreis,750000,700000
Hoher Ankerpreis,750000,700000
Hoher Ankerpreis,750000,700000
Hoher Ankerpreis,740000,725000
Hoher Ankerpreis,750000,720000
Hoher Ankerpreis,750000,700000
Hoher Ankerpreis,725000,700000
Hoher Ankerpreis,750000,700000
Hoher Ankerpreis,760000,750000
Hoher Ankerpreis,750000,700000
Hoher Ankerpreis,740000,700000
Hoher Ankerpreis,720000,680000
Hoher Ankerpreis,750000,700000
Hoher Ankerpreis,750000,725000
Hoher Ankerpreis,750000,700000
Hoher Ankerpreis,750000,700000
Hoher Ankerpreis,750000,700000
Hoher Ankerpreis,750000,700000
Hoher Ankerpreis,740000,710000
Hoher Ankerpreis,750000,700000
Hoher Ankerpreis,750000,700000
Hoher Ankerpreis,750000,700000
Hoher Ankerpreis,750000,720000
Hoher Ankerpreis,740000,700000
Hoher Ankerpreis,720000,700000
Hoher Ankerpreis,750000,700000
Hoher Ankerpreis,750000,700000
Hoher Ankerpreis,740000,700000
Hoher Ankerpreis,750000,700000
Hoher Ankerpreis,750000,700000
